Wavelength (nm),Reflection
785.0,0.030428037061649132
785.4040404040404,0.030947027643124025
785.8080808080808,0.03141876610432473
786.2121212121212,0.031841387245903054
786.6161616161617,0.032213246209217276
787.020202020202,0.03253292757397851
787.4242424242424,0.032799253731951236
787.8282828282828,0.033010909798333474
788.2323232323232,0.03316675075915731
788.6363636363636,0.0332677598769771
789.040404040404,0.03331378228191814
789.4444444444445,0.03330492576841177
789.8484848484849,0.03324156433637652
790.2525252525253,0.033124340895885736
790.6565656565657,0.03295416911151832
791.060606060606,0.03273223436135701
791.4646464646464,0.03245999378457061
791.8686868686868,0.032139136801075614
792.2727272727273,0.0317698004526848
792.6767676767677,0.03135588310578892
793.0808080808081,0.03089993514679103
793.4848484848485,0.030404767360900444
793.8888888888889,0.029873444836192618
794.2929292929293,0.029309279754604737
794.6969696969697,0.028715823050154205
795.10101010101,0.028096854918461475
795.5050505050505,0.027456374166275496
795.9090909090909,0.026798586395134823
796.3131313131313,0.026129864189507433
796.7171717171717,0.02545382006628427
797.1212121212121,0.024774199467452077
797.5252525252525,0.024095819226205715
797.929292929293,0.02342362405303726
798.3333333333334,0.02276266847732141
798.7373737373738,0.022118097831299678
799.1414141414141,0.02149512833889307
799.5454545454545,0.020899026382376125
799.9494949494949,0.02033508703066876
800.3535353535353,0.019808572666605035
800.7575757575758,0.019324618954503277
801.1616161616162,0.018888551935174535
801.5656565656566,0.018505536737986068
801.969696969697,0.018180652573486496
802.3737373737374,0.01791886929226846
802.7777777777778,0.017725024062277675
803.1818181818181,0.017603798314300007
803.5858585858585,0.01755969510865914
803.989898989899,0.017597017077830613
804.3939393939394,0.01771984509960035
804.7979797979798,0.017931515648842277
805.2020202020202,0.01823570935434832
805.6060606060606,0.01863593992979105
806.010101010101,0.019135198101259642
806.4141414141415,0.019736163361888222
806.8181818181819,0.020441190112939465
807.2222222222222,0.021252295452985803
807.6262626262626,0.022171148703265503
808.030303030303,0.02319906274205618
808.4343434343434,0.024336987204724242
808.8383838383838,0.02558550358908361
809.2424242424242,0.026942772620072077
809.6464646464647,0.0284104161688959
810.0505050505051,0.029987908701906835
810.4545454545455,0.031674350083469326
810.8585858585859,0.03346847789232407
811.2626262626262,0.03536867378498903
811.6666666666666,0.03737297154437825
812.070707070707,0.039479066721115
812.4747474747475,0.04168432776267367
812.8787878787879,0.0439858085145606
813.2828282828283,0.04637768478307206
813.6868686868687,0.04884846372739617
814.0909090909091,0.05140401819467211
814.4949494949495,0.05404034927179218
814.89898989899,0.056753226528563135
815.3030303030303,0.05953820550632117
815.7070707070707,0.0623906455982418
816.1111111111111,0.06530572818593018
816.5151515151515,0.06827847490116913
816.9191919191919,0.07130376588715312
817.3232323232323,0.07437635794011868
817.7272727272727,0.0774931428438764
818.1313131313132,0.08065140167567496
818.5353535353536,0.0838407647467757
818.939393939394,0.08705562489104163
819.3434343434343,0.09029033682080635
819.7474747474747,0.09353923272339498
820.1515151515151,0.09679663713686966
820.5555555555555,0.10005688105949115
820.959595959596,0.10331431525732566
821.3636363636364,0.10656332274408117
821.7676767676768,0.10979833041651738
822.1717171717172,0.11300938905677017
822.5757575757576,0.1161840153098098
822.9797979797979,0.11932855578462936
823.3838383838383,0.12243778668481714
823.7878787878788,0.12550657198399814
824.1919191919192,0.12852986994107815
824.5959595959596,0.13150273888765587
825.0,0.1344203423231894
